id,string
an.title,Erweitertes Netzwerk
basic.4,Mehrfach SSID
basic.5,W-Lan Ein/Aus
basic.6,802.11 n-Modus
basic.8,Netzwerkkennung senden(SSID)
basic.9,Frequenz (Kanal)
basic.10,Wireless Distribution System(WDS)
basic.11,AP MAC Adresse
basic.12,Zum MAC ähnliche Adresse
basic.13,Link Status
basic.14,Physikalischer HT-Modus
basic.15,Kanal Bandbreite
basic.16,MCS
basic.band,Drahtloses Band
basic.desc,Hier können Sie mit minimalen Einstellungen ihr Wirelessnetz einstellen. Wie zum Beispiel der Netzwerkname (SSID) und der Kanal. Der AP kann mit minimalen Einstellungen betrieben werden.
basic.title,Basis W-LAN Einstellungen
dcl.1,DHCP Clients
dcl.2,Hostname
dcl.5,Läuft aus
dcl.6,Netzwerk
dcl.7,Abgelaufen
dcl.8,Gast
dcl.9,Intern
dcl.desc,DHCP Clients können hier überwacht werden.
dcl.title,DHCP Client Liste
dmz.1,DMZ IP Adresse
dmz.desc,Sie können eine entmilitarisierte Zone (DMZ) für die Abgrenzung des internen Netzwerks und des Internets einrichten.
dmz.title,DMZ Einstellungen
dos.desc,In diesem Abschnitt können Sie die Denial of Service (DoS) Angriffsvermeidung aktivieren, die Ihrem Netzwerk zusätzlichen Schutz bietet. Wenn Sie DoS-Vermeidung aktivieren, können Sie Angriffe wie SYN Flood, ICMP Flood und heimliches Port-Scannen durch unerwünschte Eindringlinge vermeiden.
dos.title,DoS-Vermeidung
ebd.wifi.1,Wireless 11ac
ebd.wifi.2,Wireless 11n
ebd.wifi.3,Unbekannt
ebd.wps.1,WPS Konfig
ebd.wps.2,WPS-Konfiguration
ebd.wps.3,WPS Zusammenfassung
ebd.wps.4,WPS aktueller Status
ebd.wps.5,WPS Start läuft …
ebd.wps.6,Einfacher Name
ebd.wps.7,Fehlgeschlagen wegen Fehlers beim WPS-Datenaustausch!
ebd.wps.8,Fehlgeschlagen wegen  WPS-Zeitüberschreitung!
ebd.wps.9,Fehlgeschlagen wegen der WPS-Sitzungsüberschneidung!
ebd.wps.10,Init
ebd.wps.11,Anfang der Anmeldung…
ebd.wps.12,Erfolgreich…
ebd.wps.13,Fehlgeschlagen…
ebd.wps.14,Fehlgeschlagen(Zeitüberschreitung) …
ebd.wps.15,Fehlgeschlagen(pbc-Überschneidung) …
ebd.wps.16,Nach einem pbc-Zugriffspunkt suchen…
ebd.wps.17,Mit dem Zugriffspunkt verknüpfen…
ebd.wps.18,Aktueller WPS-Modus
ebd.wps.19,Station
ebd.wps.20,Nicht konfigurierter AP
ebd.wps.21,AP mit integriertem Register
ebd.wps.22,Proxing
ebd.wps.23,Station deaktiviert
ebd.wps.24,AP deaktiviert
ebd.wps.25,Konfiguriert von externem Registrar
ebd.wps.26,WPS AP-Liste
ebd.wps.27,WPS Aktion
ebd.wps.28,Anmelden
ebd.wps.29,ConfigAP
ebd.wps.30,GetAPConfig
ebd.wps.31,Aktuelle SSID
ebd.wps.32,Aktueller Authentifizierungstyp
ebd.wps.33,öffnen
ebd.wps.34,WPA2-PSK
ebd.wps.35,WPA/WPA2-PSK
ebd.wps.36,Aktueller Verschlüsselungstyp
ebd.wps.37,AES
ebd.wps.38,TKIP+AES
ebd.wps.39,Aktueller PSK (Pre Shared Key)
ebd.wps.40,Das WPA-Passwort ist
ebd.wps.41,Authentifizierungstyp
ebd.wps.42,öffnen
ebd.wps.43,Verschlüsselungstyp
ebd.wps.44,WPA-Passwort
ebd.wps.45,Anmeldeinformationen speichern
ebd.wps.46,Auf OOB zurücksetzen
ebd.wps.47,Geräte-PIN
ebd.wps.48,WPS-Methode
ebd.wps.49,PBC
ebd.wps.50,PIN
ebd.wps.51,Wenn PIN ausgewählt ist, setzen Sie PIN
ebd.wps.52,auf WPS AP oder Registrar.
ebd.wps.53,Station-PIN
ebd.wps.54,Hinweis: Leer für die Methode PBC.
ebd.wps.55,Autorisierter Station MAC
ebd.wps.56,AP PIN
ebd.wps.57,Zuletzt angemeldeter MAC
ebd.wps.58,Zuletzt angemeldeter Name
ebd.wps.59,Registrierung der Station-PIN fehlgeschlagen(erste Hälfte),
ebd.wps.60,sich einem brutalen Offline-Angreifer bewusst sein
ebd.wps.61,(lauschende Person)
ebd.wps.62,Registrierung der Station-PIN fehlgeschlagen(zweite Hälfte), bedenken Sie
ebd.wps.63,brutaler Offline-Angreifer(lauschende Person)
ebd.wps.64,Bitte geben Sie eine neue Station-PIN ein.
ebd.wps.65,auf AP und Station
ebd.wps.66,ANGRIFFSWARNUNG
file.share.desc,Schalten Sie den SAMBA- Server für das File Sharing auf USB Laufwerke ein.
file.share.description,Beschreibung
file.share.ftp,FTP-Serverinformationen
file.share.readonly,Nur lesen
file.share.readwrite,Lesen/Schreiben
file.share.server.name,Servername
file.share.server.status,Serverstatus
file.share.smb,SAMBA Server Informationen
file.share.title,File Sharing
file.share.user.list,Liste der Benutzerkonten
file.share.workgroup,Arbeitsgruppe/Workgroup
file.share.dms,DLNA-Server-Informationen
filter.desc,Filtert Pakete von LAN-Geräten (LAN= lokales Netzwerk) der aufgeführten MAC Adressen
filter.lan.mac.filter,LAN MAC Filter
filter.lan.mac.filter.mode,Filtermodus LAN MAC
filter.title,MAC Filtern
guest.1,Netzwerkbrücke
guest.2,LAN Trennung
guest.2,Nur Internet-Zugang
guest.3,Gästenetzwerk
guest.desc,Auf dieser Seite können sie das Gästenetzwerk einrichten.
guest.title,Gästenetzwerk
ip.address.error,Ungültige IP-Adresse! Geben Sie bitte eine gültige IP-Adresse ein.
ip.not.in.lan.error,Die IP-Adresse ist nicht im LAN-Subnetz vorhanden.
ipv6.1,WAN IPv6 Einstellung
ipv6.2,WAN Netzwerk Prefix
ipv6.3,Einrichtung LAN IPv6
ipv6.4,Modus
ipv6.5,Nur von 6 zu 4
ipv6.6,Nur Ipv6 einheimisch
ipv6.7,6 zu 4 + Ipv6 einheimig
ipv6.8,Netzwerkvorwahl LAN
ipv6.9,DNS-Server
ipv6.10,ID Subnetz 6to4
ipv6.alert.1,Bitte geben Sie eine richtige Subnetz-ID zwischen 0 und 65535 ein.
ipv6.status.guest,IPv6 Gastnetzwerk-Konfigurationen
ipv6.status.internal,IPv6 interne Netzwerk-Konfigurationen
ipv6.status.title,IPv6 Status
ipv6.title,IPv6-Einstellungen
lan.1,LAN Schnittstelleneinstellung
lan.6,DHCP Server Einstellungen
lan.7,DHCP-Server
lan.8,DHCP IP Anfang
lan.9,DHCP IP Ende
lan.10,DHCP Lease Zeit
lan.11,(Sekunden)
lan.12,Konfigurierte Netzwerke
lan.13,DHCP Reserven Listen
lan.14,Primär-DNS
lan.15,Sekundär-DNS
lan.alert.11,Falsche IP-Adresse und Subnet-Maske Einstellung.
lan.alert.14,Die Start IP sollte niedriger sein als die Ziel IP.
lan.alert.16,Eine LAN IP Adresse kann nicht im DHCP Pool eingestellt werden.
lan.alert.17,DHCP Frist ist keine ganzahliger Wert!
lan.alert.18,DHCP Lease-Zeit sollte 60 ~ 604800 sein!
lan.alert.19,Internes Netzwerk und Gast-Netzwerk können nicht im gleichen Subnetz sein.
lan.alert.20,Das Reservierungs-IP-Adresse muss innerhalb des Bereichs der DHCP IP-Adresse liegen.
lan.alert.21,Dieser Host-Name wird bereits in einer anderen Regel verwendet.
lan.alert.22,Diese IP-Adresse bereits in einer anderen Regel eingestellt.
lan.alert.23,Diese MAC-Adresse bereits in einer anderen Regel festzulegen.
lan.alert.24,Diese URL bereits in einer anderen Regel festzulegen.
lan.alert.26,MAC Filter: Allowed MAC is empty.
lan.desc,Diese Seite ermöglicht Ihnen, das LAN des Routers einzustellen.
lan.desc.psta,In diesem Abschnitt können Sie die IP-Adresseinstellungen des Routers bearbeiten.
lan.title,Lokales Netzwerk(LAN)Einstellungen
vlan.title,Virtual Local Area Network (VLAN) Einstellungen
vlan.desc,Auf dieser Seite können Sie das VLAN für den Router einstellen.
vlan.id,VID
vlan.portnum,Portzahl
vlan.internet,WAN-Port
vlan.port,Port
vlan.untag,getagged
vlan.tag,ungetagged
vlan.exclude,Ausgeschlossen
vlan.1,Einstellen der virtuellen LAN Schnittstelle
vlan.internet.title,Standard-Interneteinstellung
add,Hinzufügen
edit,Bearbeiten
remove,Entfernen
vlan.list,VLAN-Liste
member,Mitglied
vlan.alert.1,Die VLAN-ID für das Standard-Internet darf nicht null oder leer sein.
vlan.alert.2,VLAN-ID ist keine ganze Zahl.
vlan.alert.3,VLAN-ID unterstützt nur 3~4094.
vlan.alert.4,Diese VID wurde bereits verwendet.
vlan.alert.5,Die maximale VLAN-Zahl ist 5.
vlan.alert.6,Ein Port kann nur in ungetaggtem Zustand einer VLAN-ID zugewiesen werden.
mac.address.error,Ungültige MAC-Adresse! Geben Sie bitte eine gültige MAC-Adresse ein.
mg.1,Administrator Einstellungen
mg.2,Konto
mg.3,Passwort
mg.4,( Maximal Länge: 16 Zeichen)
mg.5,Leerlauf Timeout
mg.6,(120-3600 Sekunden)
mg.7,Gerätename Einstellungen
mg.8,Gerätename
mg.9,DDNS Einstellungen
mg.10,Dynamischer DNS Provider
mg.11,Hostname
mg.12,Konto
mg.13,Passwort
mg.14,Remote-Management
mg.15,Fernsteuerung (über WAN)
mg.17,Geräte URL Einstellungen
mg.18,Geräte URL
mg.19,Mail Exchange (Optional)
mg.20,Backup MX
mg.alert.1,Bitte Konto, Passwort und DDNS angeben.
mg.alert.2,Der Hostname lässt nur [0-9a-zA-Z_-] Zeichen zu.
mg.alert.3,Konto enthält ungültige Zeichen.
mg.alert.4,Passwort enthält ungültige Zeichen
mg.alert.5,Der Gerätename lässt nur [0-9a-zA-Z_-] Zeichen zu.
mg.alert.6,Der Leerlauf Timeout muss länger als 120 Sekunden und kürzer als 3600 Sekunden sein.
mg.alert.7,Es werden nur alphanumerische Zeichen für das Admin Passwort akzeptiert.
mg.alert.8,Konto sollte nicht leer sein!
mg.alert.9,Das Konto lässt nur [0-9a-zA-Z_-] Zeichen zu.
mg.alert.11,Der Remote Port-Wert muss eine Ganze Zahl sein(1~65535).
mg.alert.12,Bitte Geräte URL angeben.
mg.alert.13,Geräte URL lässt nur [0-9a-zA-Z_-] Zeichen zu.
mg.alert.14,Als maximale Leerlaufzeit muss eine ganze Zahl eingetragen werden
mg.alert.15,Mehr als 256 DDNS-Wörter.
mg.desc,In diesem Abschnitt können Sie das Administrator-Passwort ändern, dynamisches DNS aktivieren und deaktivieren und Fernverwaltung aktivieren, um über das Internet auf Ihren Router zugreifen zu können. Da die meisten Internetdienstanbieter ständig Ihre IP-Adresse ändern, müssen Sie einen dynamischen DNS-Dienst einrichten und die Parameter in diesem Verwaltungsbereich eingeben, damit Sie über das Internet auf Geräte in Ihrem Heim- oder Privatbüro-LAN (wie z.B. IP-Kameras) zugreifen können. Dynamische DNS-Dienste ermöglichen es Ihrem Router, dem jeweiligen dynamischen DNS-Dienst gegenüber seinen Standort zu bestätigen, was es dem dynamischen DNS-Dienst ermöglicht, Ihrem Netzwerk einen virtuelle, fixe IP-Adresse zuzuweisen. Das bedeutet, dass obwohl Ihr Internetdienstanbieter ständig Ihre IP-Adresse ändert, der dynamische DNS-Dienst Ihr Netzwerk weiter über eine fixe Adresse erkennen kann.
mg.desc.psta,In diesem Abschnitt können Sie ihr Administratorpasswort ändern.
mg.title,System Verwaltung
net.node.dhcp,DHCP Client Liste
net.node.ipv6,IPv6-Einstellung
net.node.lan,LAN Einstellung
net.node.vlan,VLAN-Einstellungen
net.node.qos,QoS
net.node.wan,Internet Einstellungen
port.error,Bitte geben Sie einen richtigen Port zwischen 0 und 65535 ein
qos.1,QoS Einstellung
qos.2,QoS einschalten
qos.3,ACK Prioritisierung
qos.4,ICMP Prioritisierung 
qos.5,Einstellen der Verkehrsklasse
qos.6,Grundeinstellung Verkehrsklasse
qos.7,Einstellen des Eingangsverkehrs
qos.8,Eingang Klassen (% Max Input BW 'Bandbreite')
qos.9,BW(Bandbreite)Eingang Max
qos.10,Ausgabeklasse einrichten
qos.11,Ausgabenklassen (% Max Output BW)
qos.12,BW Max Ausgang
qos.13,QoS Regel hinzufügen
qos.14,Hinzufügen einer QoS Regel (Ausgang)
qos.15,IP/MAC Adressenfilter
qos.16,Ziel-IP-Adresse
qos.17, IP Quelle
qos.18,MAC Quelle
qos.19,Adresse:
qos.20,Protokollfilter
qos.21,TCP/UDP
qos.22,Portfilter
qos.23,Ziel-Port
qos.24,Quelle Port
qos.25,Quelle oder Ziel
qos.26,Portliste:
qos.27,Zugewiesene Klasse
qos.28,Beschreibung
qos.29,Regel hinzufügen
qos.30,Liste/Übersicht der QoS Regeln
qos.31,Regel Nr.
qos.32,Adresstyp
qos.33,Adresse
qos.34,Protokoll
qos.35,Portfilter
qos.36,Portzahl
qos.37,Klasse
qos.38,Beschreibung
qos.39,Quelle
qos.40,Bestimmungsort oder Quelle
qos.41,Am höchsten
qos.42,Hoch
qos.43,Mittel
qos.44,Niedrig
qos.45,Am niedrigsten
qos.46,Löschen sie die regel
qos.47,Regel bearbeiten
qos.48,QoS Regelbearbeitung
qos.49,QoS-Regel bearbeiten (ausgehend)
qos.submit.edit,Bearbeitung speichern
qos.reset.edit,Bearbeitung zurücksetzen
qos.alert.1,Bitte wählen Sie EINE Regel, die zu einer Zeit bearbeitet werden soll.
qos.alert.2,Die Summe aller %BWMin kann nicht 100 überschreiten!
qos.alert.3,Bitte geben Sie eine Nummer ein!
qos.alert.4,Ist eine ungültige Nummer!
qos.alert.5,Ungültige Nummer, die Nummer muss größer als 0 und kleiner als 100 sein!
qos.alert.6,Ungültige Nummer - liegt außerhalb des Wertebereichs
qos.alert.7,Ungültige Nummer, %BWMin soll nicht größer als %BWMax sein!
qos.alert.8,Keine Regel wurde ausgewählt. Überprüfen Sie bitte die Regeln, die Sie löschen möchten.
qos.alert.9,Ungültige Ports! Tragen Sie bitte gültige Ports ein, das richtige Format ist 
qos.alert.10,Beschreibung nimmt nur [0-9a-zA-Z_-] Zeichen an.
qos.alert.11,Die Summe aller %BW kann nicht 100 überschreiten!
qos.desc,Diese Seite ermöglicht Ihnen die QoS Funktionen einzustellen.
qos.title,(QoS) Quality of Service Einstellungen
range.desc,Diese Einstellungen können mehrere Anschlüsse (Ports) oder einen Anschlussbereich (Portrange) auf Ihrem Router öffnen. Die Formate schließen einen einzelnen Port (Bsp.: 80), und Anschlussbereiche (Bsp.: 50-60) ein.
range.func,Spielfunktion
range.rules,Gaming Rules (Gaming Regeln)
range.tcp.ports,TCP Ports
range.title,Gaming
range.udp.ports,UDP Ports
route.desc,Die Option statisches Routing ermöglicht das Festlegen fester Routen zu bestimmten Zielen.
route.lan.static.route,LAN statische Routen
route.routing.table,Routing-Tabelle
route.title,Einstellung des statischen Routing
route.wan.static.route,WAN statische Routen
routing.alert.1,Bitte geben Sie einen Metrik Wert zwischen 1 und 15 ein.
routing.alert.2,Die IP-Adresse hat ungültige Zeichen
routing.alert.3,Die IP-Adresse akzeptiert nur Zeichen des Typs [0-9.].
routing.alert.4,Das Format der IP-Adresse ist falsch!
schedule.alert.1,Mindestens ein Tag muss ausgewählt werden.
schedule.alert.3,Der gleiche Regelname kann nicht erlaubt werden.
schedule.alert.2,Der Name Schedule ist leer.
schedule.alert.4,Startzeit muss früher als Endzeit sein.
schedule.desc,Zeitplanregeln für verschiedene Firewall-Funktionen aufstellen.
schedule.rule.name,Regelbezeichnung
schedule.rules,Zeitplan Regeln
schedule.start.end,Beginn - Ende
schedule.title,Zeitplan
security.1,Firmwareversion
security.2,Authentifikation 802,11
security.3,Authentifikation 802,11X
security.4,WPA
security.5,WPA-PSK
security.6,WPA2
security.7,WPA2-PSK
security.8,BRCM-PSK
security.9,WPA2: Pre-Authentizifierung
security.10,WAPI
security.11,WAPI-PSK (PSK= Pre shared Key)
security.12,WEP Verschlüsselung
security.13,WPA Verschlüsselung
security.14,WAPI AS Server
security.15,WAPI AS Port
security.16,RADIUS Server
security.17,RADIUS Port
security.18,RADIUS Schlüssel
security.19,WPA Passphrase 
security.20,Netzwerkschlüssel
security.21,Derzeitiger Netzwerkschlüssel
security.22,Netzwerkschlüssel Rotationsintervall
security.23,WAPI Unicast Intervall für Schlüsselerneuerung
security.24,WAPI Multicast Intervall für Schlüsselerneuerung
security.25,Intervall Netzwerk Re-Authentifizierung
security.26,NAS Störungsbehebung 
security.30,Zertifikatstatus
security.31,Zertifikat installieren
security.32,ASU Zertifikatsdatei
security.33,Datei Benutzerzertifikat
security.34,X.509 Zertifikat installieren
security.35,Sicherheitsrichtlinie
security.36,WEP
security.37,WPA
security.38,WAPI Verschlüsselung
security.39,WAPI Passphrase
security.40,RADIUS-Server
security.41,Filtermodus
security.42,WPA2-PSK Gemischt
security.43,WPA2 Gemischt
security.44,MAC-Filterliste
security.alert.1,Ungültiges WPA-Passwort. Es ist keine hexadezimale Ziffer.
security.alert.2,Ungültiges WPA-Passwort : muss zwischen 8 und 63 ASCII-Zeichen lang sein oder 64 hexadezimale Ziffern haben
security.alert.3,Ungültiger Netzwerkschlüssel. Der Netwerkschlüssel ist keine hexadezimale Ziffer.
security.alert.4,Ungültiger Netzwerkschlüssel : der Netzwerkschlüssel muss zwischen 5 und 13 ASCII-Zeichen oder 10 und 26 hexadezimale Ziffern lang sein
security.alert.5,Bitte geben Sie einen Integerwert ein.
security.desc,Diese Seite ermöglicht Ihnen, die Sicherheit für die W-Lan Schnittstelle zu konfigurieren.
security.title,Sicherheit
single.port.1,Virtueller Server Regeln
single.port.2,Öffentlicher Port
single.port.4,Privater Port
single.port.desc,Der virtuelle Server kann einen einzelnen öffentlichen Port für die Weiterleitung zu einer internen IP und Port festlegen.
single.port.func,Virtuelle Server-Funktion
single.port.title,Virtueller Server
sm.1,Einstellungen exportieren
sm.2,Exportieren
sm.3,Einstellungen importieren
sm.4,Speicherort der Konfigurationsdatei
sm.5,Werkseinstellungen laden
sm.6,Grundeinstellung laden
sm.7,System Neustart
sm.8,Neustart
sm.alert.1,Konfigurationen wiederherstellen fehlgeschlagen. Bitte versuchen Sie es erneut.
sm.desc,Sie können die vorgenommenen Systemeinstellungen speichern, indem Sie diese in eine Konfigurationsdatei exportieren und bei Bedarf zur Wiederherstellung importieren, oder Sie können mit Reset die Werkseinstellungen wiederherstellen.
sm.title,Einstellungen verwalten
stainfo.desc,Geräte, die diesem AP zugeordnet sind, können überwacht werden.
stainfo.title,Geräteliste
status.24g.wireless,2.4GHz Wireless Vebindung
status.5g.wireless,5GHz Wireless Vebindung
status.connect.type,Anschlusstyp
status.desc,Gerätestatus
status.desc.psta,In diesem Abschnitt finden Sie die Systeminformationen Ihres Routers.
status.fw.version,Firmwareversion
status.internet.config,Interneteinstellungen
status.net.name.ssid,Netzwerkkennung(SSID1)
status.net.name.guest.ssid,Gäste SSID
status.primary.dns,Primärer Domain Server Name (DNS)
status.second.dns,Zweiter Domain Namensserver (DNS)
status.security.mode,Sicherheitsmodus
status.sys.up.time,System Betriebszeit
status.system.info,System Info
status.system.time,Systemzeit
status.title,Status
status.wan.ip.address,WAN IP-Adresse
syslg.1,System Log
syslg.2,System Log aktivieren
syslg.3,Log exportieren
syslg.alert.1,Es kann keine XMLHTTP Instanz erzeugt werden:( Abgebrochen
syslg.alert.2,Es traten Probleme bei der Anfrage auf.
syslg.desc,Auf dieser Seite können Sie ein Systemlogbuch anlegen und sich anzeigen lassen.
syslg.title,System Log
trigger.alert.1,Der Port Match Start muss kleiner als Match End sein
trigger.alert.2,Der Port Trigger Start sollte kleiner als Trigger End sein
trigger.desc,Automatisch-gesendete Verbindungen
trigger.func,Port Ansteuerungsfunktion
trigger.match.range,Match Anschlussbereich (Port Range)
trigger.port.range,Trigger Anschlussbereich (Port Range)
trigger.rules,Anschluss (Port) Trigger Regeln 
trigger.title,Port Weiterleitung
ts.1,Uhrzeit Konfiguration
ts.2,Systemzeit
ts.3,NTP Einstellungen
ts.4,NTP Server aktivieren
ts.5,NTP-Server
ts.6,NTP Server auswählen.
ts.7,Zeitzone
ts.8,NTP Abgleichung
ts.9,Datum und Uhrzeit Einstellungen
ts.10,Datum und Uhrzeit
ts.alert.1,Bitte einen NTP Server auswählen.
ts.alert.2,Bitte einen Wert für den Synchronisationsintervall angeben.
ts.alert.3,Ungültiger NTP Abgleichswert.
ts.alert.4,Der NTP Abgleichswert liegt außerhalb des Bereiches.(1~300)
ts.alert.5,Der NTP Abgleichswert ist keine ganze Zahl!
ts.alert.6,Ungültige Monats- und Tageseinstellung!
ts.desc,Sie können nun die Uhrzeit und die Zeitzone festlegen.
